                                                                               1 Aug 2018 13:00:48
Approved for Personal Home Use Only
Satellite-KickSat2-To-Facility-Facility1:  Access Summary Report


KickSat2-To-Facility1
---------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                      73    28 Dec 2018 18:35:05.246    28 Dec 2018 18:38:46.266           221.020
                      74    28 Dec 2018 20:12:33.632    28 Dec 2018 20:14:14.167           100.536
                      75    29 Dec 2018 01:04:34.962    29 Dec 2018 01:07:04.819           149.857
                      76    29 Dec 2018 02:40:36.430    29 Dec 2018 02:43:49.242           192.812
                      77    29 Dec 2018 19:17:32.983    29 Dec 2018 19:21:10.950           217.967
                      78    30 Dec 2018 01:46:18.169    30 Dec 2018 01:50:31.554           253.385
                      79    30 Dec 2018 18:23:18.118    30 Dec 2018 18:27:33.463           255.345
                      80    31 Dec 2018 00:52:30.110    31 Dec 2018 00:56:32.605           242.496
                      81    31 Dec 2018 17:29:38.638    31 Dec 2018 17:33:31.882           233.244
                      82    31 Dec 2018 19:07:43.800    31 Dec 2018 19:08:29.418            45.618
                      83    31 Dec 2018 23:59:06.241     1 Jan 2019 00:01:58.008           171.767
                      84     1 Jan 2019 01:35:27.745     1 Jan 2019 01:38:16.057           168.312
                      85     1 Jan 2019 16:37:08.856     1 Jan 2019 16:38:31.342            82.485
                      86     1 Jan 2019 18:12:21.157     1 Jan 2019 18:15:46.153           204.996
                      87     2 Jan 2019 00:41:00.383     2 Jan 2019 00:45:09.378           248.996
                      88     2 Jan 2019 17:18:00.073     2 Jan 2019 17:22:12.840           252.768
                      89     2 Jan 2019 23:47:08.114     2 Jan 2019 23:51:16.650           248.536
                      90     3 Jan 2019 16:24:13.705     3 Jan 2019 16:28:16.166           242.461
                      91     3 Jan 2019 22:53:39.204     3 Jan 2019 22:56:49.151           189.946
                      92     4 Jan 2019 00:30:23.457     4 Jan 2019 00:32:38.146           134.689
                      93     4 Jan 2019 15:31:21.118     4 Jan 2019 15:33:36.562           135.444
                      94     4 Jan 2019 17:07:10.710     4 Jan 2019 17:10:20.345           189.635
                      95     4 Jan 2019 23:35:43.568     4 Jan 2019 23:39:45.880           242.312
                      96     5 Jan 2019 16:12:43.082     5 Jan 2019 16:16:51.522           248.440
                      97     5 Jan 2019 22:41:46.807     5 Jan 2019 22:45:59.640           252.833
                      98     6 Jan 2019 15:18:50.236     6 Jan 2019 15:22:59.333           249.097
                      99     6 Jan 2019 21:48:13.412     6 Jan 2019 21:51:38.677           205.264
                     100     6 Jan 2019 23:25:29.014     6 Jan 2019 23:26:50.072            81.059
                     101     7 Jan 2019 14:25:43.328     7 Jan 2019 14:28:32.160           168.832
                     102     7 Jan 2019 16:02:01.878     7 Jan 2019 16:04:53.284           171.406
                     103     7 Jan 2019 20:55:29.443     7 Jan 2019 20:56:16.775            47.332
                     104     7 Jan 2019 22:30:27.876     7 Jan 2019 22:34:20.913           233.037
                     105     8 Jan 2019 15:07:27.143     8 Jan 2019 15:11:29.512           242.369
                     106     8 Jan 2019 21:36:26.195     8 Jan 2019 21:40:41.571           255.377
                     107     9 Jan 2019 14:13:28.083     9 Jan 2019 14:17:41.523           253.440
                     108     9 Jan 2019 20:42:48.628     9 Jan 2019 20:46:26.828           218.200
                     109    10 Jan 2019 13:20:10.212    10 Jan 2019 13:23:23.411           193.199
                     110    10 Jan 2019 14:56:55.106    10 Jan 2019 14:59:24.532           149.426
                     111    10 Jan 2019 19:49:45.154    10 Jan 2019 19:51:26.472           101.319
                     112    10 Jan 2019 21:25:13.523    10 Jan 2019 21:28:54.270           220.747
                     113    11 Jan 2019 14:02:12.270    11 Jan 2019 14:06:06.801           234.531
                     114    11 Jan 2019 20:31:06.295    11 Jan 2019 20:35:22.432           256.136
                     115    12 Jan 2019 13:08:07.145    12 Jan 2019 13:12:22.858           255.712
                     116    12 Jan 2019 19:37:24.708    12 Jan 2019 19:41:13.745           229.037
                     117    13 Jan 2019 12:14:40.139    13 Jan 2019 12:18:11.943           211.804
                     118    13 Jan 2019 13:51:51.288    13 Jan 2019 13:53:53.186           121.898
                     119    13 Jan 2019 18:44:11.331    13 Jan 2019 18:46:25.346           134.014
                     120    13 Jan 2019 20:20:00.838    13 Jan 2019 20:23:25.616           204.778
                     121    14 Jan 2019 12:56:58.502    14 Jan 2019 13:00:43.350           224.848
                     122    14 Jan 2019 19:25:47.151    14 Jan 2019 19:30:02.173           255.022
                     123    15 Jan 2019 12:02:47.350    15 Jan 2019 12:07:03.399           256.049
                     124    15 Jan 2019 18:32:01.563    15 Jan 2019 18:35:59.520           237.958
                     125    16 Jan 2019 11:09:12.356    16 Jan 2019 11:12:58.524           226.168
                     126    16 Jan 2019 12:46:52.922    16 Jan 2019 12:48:16.750            83.828
                     127    16 Jan 2019 17:38:41.196    16 Jan 2019 17:41:20.163           158.967
                     128    16 Jan 2019 19:14:50.366    16 Jan 2019 19:17:54.415           184.049
                     129    17 Jan 2019 11:51:45.906    17 Jan 2019 11:55:19.093           213.187
                     130    17 Jan 2019 18:20:28.823    17 Jan 2019 18:24:40.749           251.926
                     131    18 Jan 2019 10:57:28.649    18 Jan 2019 11:01:43.202           254.553
                     132    18 Jan 2019 17:26:39.139    18 Jan 2019 17:30:44.209           245.070
                     133    19 Jan 2019 10:03:46.427    19 Jan 2019 10:07:43.590           237.163
                     134    19 Jan 2019 16:33:13.199    19 Jan 2019 16:36:12.480           179.281
                     135    19 Jan 2019 18:09:43.114    19 Jan 2019 18:12:19.660           156.546
                     136    20 Jan 2019 09:11:05.946    20 Jan 2019 09:12:53.015           107.070
                     137    20 Jan 2019 10:46:34.591    20 Jan 2019 10:49:53.925           199.334
                     138    20 Jan 2019 17:15:11.399    20 Jan 2019 17:19:18.067           246.668
                     139    21 Jan 2019 09:52:11.011    21 Jan 2019 09:56:22.302           251.291
                     140    21 Jan 2019 16:21:17.409    21 Jan 2019 16:25:27.832           250.423
                     141    22 Jan 2019 08:58:22.079    22 Jan 2019 09:02:27.413           245.333
                     142    22 Jan 2019 15:27:46.684    22 Jan 2019 15:31:02.947           196.263
                     143    22 Jan 2019 17:04:41.524    22 Jan 2019 17:06:38.919           117.394
                     144    23 Jan 2019 08:05:23.341    23 Jan 2019 08:07:53.221           149.880
                     145    23 Jan 2019 09:41:24.731    23 Jan 2019 09:44:27.659           182.928
                     146    23 Jan 2019 16:09:54.999    23 Jan 2019 16:13:54.010           239.012
                     147    24 Jan 2019 08:46:54.425    24 Jan 2019 08:51:00.711           246.286
